ID,Team,Title,Description,Status,Priority,Project,Assignee,Labels,Estimate,Created,Completed,Canceled,Archived
101,CafeOS,Tamil translations incorrect on staff dashboard,"Several Tamil translations on the staff dashboard are machine-transliterated English instead of proper Tamil. Examples: Shift Dashboard shows as incorrect transliteration instead of proper Tamil. Fix all incorrect translations in ta.json translation file. Review session with Jhanani required.",Todo,Medium,Phase 1 Cleanup,Vijay,tamil-translation,,,,
102,CafeOS,Snack item names not showing in Tamil,"When Tamil toggle is active on staff shift dashboard the snack item names Medu Vada Onion Samosa etc still show in English. The name_tamil column exists in database but the component is not reading it when language is Tamil. Fix getItemName helper to return name_tamil when language is ta.",Todo,Medium,Phase 1 Cleanup,Vijay,tamil-translation,,,,
103,CafeOS,Status icon on shift cards misaligned,"The clock icon and Pending/Done status text on shift dashboard cards is rendering above the text instead of inline. Should be on the same horizontal line as the card title on the right side using flex items-center gap-1.5.",Todo,Low,Phase 1 Cleanup,Vijay,ui-polish,,,,
104,CafeOS,Milk Details card input fields not accepting input,"On the staff shift dashboard the Milk Details card Coffee Milk and Tea Milk litre input fields do not accept any keyboard input. All other card fields work correctly. Only Milk Details card is affected. Investigate and fix the input field binding.",Todo,High,Phase 1 Cleanup,Vijay,bug,,,,
105,CafeOS,Tasks page requires refresh to show content,"On first load the Tasks page shows Loading indefinitely. Only after manual browser refresh does the content appear. Root cause is data fetch firing before auth session is ready. Fix using React Query enabled: !!session pattern.",Todo,High,Phase 1 Cleanup,Vijay,bug,,,,
106,CafeOS,Logout intermittently fails on first click,"Logout button occasionally does not work on first click. Page stays on current screen. After browser refresh logout correctly redirects to login. Fix by wrapping signOut in try/catch and always navigating to /login regardless of response.",Todo,High,Phase 1 Cleanup,Vijay,bug,,,,
107,CafeOS,Staff dashboard no navigation back to home inside card,"When staff opens a shift card there is no navigation back to the shift dashboard home. Staff is stuck and has to use browser back button. Add a Back to Dashboard link or breadcrumb navigation inside the shift card view.",Todo,High,Phase 1 Cleanup,Vijay,bug,,,,
108,CafeOS,After login shows white page requires refresh,"After successful login the app shows a blank white page. Only after manually refreshing does the correct role dashboard appear. Fix by ensuring navigate is called immediately after signInWithPassword succeeds.",Todo,High,Phase 1 Cleanup,Vijay,bug,,,,
109,CafeOS,Add Playwright security test cases,"Add tests/e2e/security.spec.ts covering: Staff tries to access /dashboard redirected away. Supervisor tries to access /users redirected away. Unauthenticated user tries any protected route redirected to /login. C2 staff cannot see KR data.",Todo,High,Phase 1 Cleanup,Vijay,testing,,,,
110,CafeOS,Add Playwright edge case test cases,"Add tests/e2e/edge-cases.spec.ts covering: Phone number with spaces shows validation error. Password less than 6 chars shows error. Name with only spaces shows error. Rapid double-click on login sends only one request. Rapid double-click on deactivate only deactivates once.",Todo,Medium,Phase 1 Cleanup,Vijay,testing,,,,
111,CafeOS,Add Playwright state combination test cases,"Add tests/e2e/state-combinations.spec.ts covering: Create employee then immediately edit then save then verify changes persisted. Deactivate then verify cannot login then reactivate then verify can login. Delete then verify gone from list then view deleted.",Todo,Medium,Phase 1 Cleanup,Vijay,testing,,,,
112,CafeOS,Sentry error monitoring setup,"Before going live on HP EliteDesk server set up Sentry for production error monitoring. Free tier is sufficient. Add SENTRY_DSN to .env and install @sentry/react. Captures exact error line and user context automatically when staff hit errors in production.",Todo,High,Pre Go-Live,Vijay,tooling,,,,
113,CafeOS,AEGIS security audit after Phase 9,"After Phase 9 Sales Reconciliation is complete run an AEGIS security audit covering all financial calculation logic. P&L formulas cash discrepancy calculations reconciliation engine vendor payment calculations.",Todo,Medium,Pre Go-Live,Vijay,security,,,,
114,CafeOS,Tamil full review session with Jhanani,"After all 16 phases are complete do a dedicated Tamil translation review session with Jhanani. Go through every screen note all incorrect translations and fix them all in one pass. Estimated 2-3 hours. Update ta.json with all corrections.",Todo,Low,Post Phase 16,Jhanani,tamil-translation,,,,
201,CafeOS,Stock levels entry KR full category list,"Build staff data entry for stock levels on KR branch. Coffee and Tea powder use kg+grams dual input fields storing grams internally. Items: Coffee Powder Tea Powder Country Sugar White Sugar Peanut Ladoo Dry Fruit Ladoo Rava Ladoo Peanuts/Sundal Milk Tea Cake Banana Cake Brownie Lava all Bun types Osmania Biscuit Paa Khoa Water Bottle Bunch Momos Packet Sweet Corn. Save button writes to stock_entries table.",Todo,Urgent,Phase 2,Vijay,feature,,,,
202,CafeOS,Cash expenses entry KR categories,"Build staff cash expense entry for KR branch with categories: Lemon & Ginger Lorry Water Sugar Cauliflower Potato Onion Tomato Other Veggies Bun Items Kadalai Mittai Curd Flower Corporation Evening Snacks Rajam Sukku Powder/Malt Gas. Gas category auto-flows to P&L Gas Bill line. Plus icon for ad-hoc categories. Total auto-summed. Save to expense_entries table.",Todo,Urgent,Phase 2,Vijay,feature,,,,
203,CafeOS,C2 branch stock form all differences from KR,"Build C2 staff stock levels form. Differences from KR: Add Egg Rose Milk Cup Badam Milk Cup White Channa. Remove Rava Ladoo Paa Khoa Water Bottle Bunch. Same kg+grams dual fields for Coffee and Tea powder. Save to stock_entries table tagged branch C2.",Todo,Urgent,Phase 2,Vijay,feature,,,,
204,CafeOS,C2 branch cash expenses C2 specific categories,"Build C2 staff cash expense entry with categories: Lemon & Ginger Bread Egg Sugar Cauliflower Potato Onion Tomato Other Veggies Bun Evening Snacks Gas. Plus icon for ad-hoc. Total auto-summed. Save to expense_entries table tagged branch C2.",Todo,Urgent,Phase 2,Vijay,feature,,,,
205,CafeOS,Supervisor data entry both branches,"Build supervisor data entry for stock levels and cash expenses for both KR and C2 branches. Supervisor selects branch first then sees the same entry form as staff for that branch. Entries tagged with branch selected and entered_by_role = Supervisor.",Todo,Urgent,Phase 2,Vijay,feature,,,,
206,CafeOS,Stock data saves to database on Save button,"Implement database save for stock levels entry. On Save button write all stock item rows to stock_entries table with fields: daily_entry_id item_name unit opening_stock purchase closing_stock consumption branch entry_date. Show success toast on save. Use useMutation from React Query.",Todo,Urgent,Phase 2,Vijay,feature,,,,
207,CafeOS,Cash expenses saves to database on Save button,"Implement database save for cash expense entry. On Save button write all expense rows to expense_entries table with fields: category amount daily_entry_id branch entry_date gas_for_pl_gas_bill flag. Show success toast. Use useMutation from React Query.",Todo,Urgent,Phase 2,Vijay,feature,,,,
208,CafeOS,Phase 2 database migration 002,"Create supabase/migrations/002_phase2_additions.sql with any new columns or tables needed for Phase 2. Register in migrations_log table. Apply to running database via docker exec. Never modify 001_complete_schema.sql.",Todo,High,Phase 2,Vijay,database,,,,
209,CafeOS,Playwright tests for all Phase 2 features,"Write Playwright E2E tests in tests/e2e/phase2.spec.ts covering: Stock levels entry saves correctly for KR and C2. Cash expenses entry saves correctly. Supervisor can enter data for both branches. Gas category flows to correct P&L line. Save button shows success toast.",Todo,High,Phase 2,Vijay,testing,,,,
